,0
0,1.5392428636550903
1,1.8732789754867554
2,1.8895938396453857
3,1.7368407249450684
4,1.9058324098587036
5,1.4488930702209473
6,1.9108474254608154
7,1.8875148296356201
8,1.8112345933914185
9,1.797107458114624
10,1.8500852584838867
11,1.4017609357833862
12,1.3809466361999512
13,1.9446237087249756
14,1.8251683712005615
15,1.910597562789917
16,1.8136016130447388
17,1.5848591327667236
18,1.4765613079071045
19,1.7211639881134033
20,1.8241314888000488
21,1.3704040050506592
22,1.7794394493103027
23,1.9127041101455688
24,1.8258209228515625
25,1.9073137044906616
26,1.894395351409912
27,1.8883860111236572
28,1.8688682317733765
29,1.8334494829177856
30,1.3801772594451904
31,1.8638432025909424
32,1.8864045143127441
33,1.7960436344146729
34,1.8884104490280151
35,1.3822184801101685
36,1.910826563835144
37,1.868795394897461
38,1.5775002241134644
39,1.5245475769042969
40,1.8921581506729126
41,1.4604997634887695
42,1.4008350372314453
43,1.8751105070114136
44,1.4407413005828857
45,1.5009536743164062
46,1.8604772090911865
47,1.3847750425338745
48,1.8633800745010376
49,1.6653199195861816
50,1.6884384155273438
51,1.5006144046783447
52,1.5421020984649658
53,1.883118987083435
54,1.6273293495178223
55,1.8435628414154053
56,1.4439668655395508
57,1.5673226118087769
58,1.4958767890930176
59,1.536128282546997
60,1.6718597412109375
61,1.774417757987976
62,1.3707942962646484
63,1.8474526405334473
64,1.434415340423584
65,1.5157208442687988
66,1.3592712879180908
67,1.5427387952804565
68,1.3986904621124268
69,1.6908155679702759
70,1.3917150497436523
71,1.5694172382354736
72,1.3821276426315308
73,1.6553375720977783
74,1.3747711181640625
75,1.6962308883666992
76,1.352475881576538
77,1.7021477222442627
78,1.359083652496338
79,1.5775279998779297
80,1.369715690612793
81,1.6584575176239014
82,1.3807172775268555
83,1.6290156841278076
84,1.4036250114440918
85,1.5932748317718506
86,1.4412873983383179
87,1.620978593826294
88,1.3871617317199707
89,1.56488037109375
90,1.4944207668304443
91,1.6262156963348389
92,1.43985915184021
93,1.5171003341674805
94,1.5190891027450562
95,1.543433666229248
96,1.4502378702163696
97,1.5580730438232422
98,1.4172165393829346
99,1.5648839473724365
