,0
0,0.7832565307617188
1,1.013000726699829
2,0.8478318452835083
3,0.9101871848106384
4,0.7063400745391846
5,0.6309536695480347
6,0.9816074371337891
7,0.948517918586731
8,0.8617847561836243
9,0.97397381067276
10,0.4287956953048706
11,0.22408495843410492
12,0.5180180072784424
13,0.9527247548103333
14,0.9214150309562683
15,0.9631885886192322
16,0.8053949475288391
17,0.2382575124502182
18,0.38850367069244385
19,0.8413599729537964
20,0.25035277009010315
21,0.505364716053009
22,0.8346092700958252
23,0.8862528204917908
24,0.9247193932533264
25,0.9954861402511597
26,1.079479455947876
27,1.0857797861099243
28,1.0899507999420166
29,0.21000167727470398
30,0.5209482908248901
31,0.9610416889190674
32,0.9876026511192322
33,0.9551251530647278
34,0.5775589346885681
35,0.5061803460121155
36,1.065223217010498
37,1.0108191967010498
38,0.35212671756744385
39,0.5667517185211182
40,0.4513150453567505
41,0.33721840381622314
42,0.5262136459350586
43,0.4206989109516144
44,0.29078197479248047
45,0.5689054131507874
46,0.2682669758796692
47,0.558419942855835
48,0.8388525247573853
49,0.3643640875816345
50,0.34205305576324463
51,0.37579143047332764
52,0.618280827999115
53,0.6478264927864075
54,0.8717536926269531
55,0.6463751792907715
56,0.25742703676223755
57,0.2813751995563507
58,0.4999893009662628
59,0.34210553765296936
60,0.7756674289703369
61,0.3185972571372986
62,0.5749184489250183
63,0.6928261518478394
64,0.3804027736186981
65,0.11882880330085754
66,0.5653334856033325
67,0.32595986127853394
68,0.5293181538581848
69,0.3424322009086609
70,0.40990009903907776
71,0.34925562143325806
72,0.5163589119911194
73,0.27529940009117126
74,0.5428996682167053
75,0.22503209114074707
76,0.6096940636634827
77,0.3748665452003479
78,0.5531914830207825
79,0.34637144207954407
80,0.566110372543335
81,0.3718079626560211
82,0.5590871572494507
83,0.4193554222583771
84,0.5343421697616577
85,0.4753378629684448
86,0.5209460854530334
87,0.37940970063209534
88,0.5753533840179443
89,0.5170789361000061
90,0.4912923276424408
91,0.46590232849121094
92,0.47580963373184204
93,0.5567654371261597
94,0.4328896999359131
95,0.47622743248939514
96,0.4878903031349182
97,0.41068515181541443
98,0.509497880935669
99,0.3814634382724762
